Date,Opponent,Home/Away,Knicks Score,Opp Score,Actual Total,Actual Margin,Result,Training Games,ML Win Prob %,ML W/L,Poly Spread,Poly Win Prob %,Poly Margin,Poly Error,Poly W/L
"Jan 27, 2026",Kings,Home,103,87,190,16.0,WIN,445,99.7,Correct,-14.5,90.6,14.5,1.5,Correct
"Jan 28, 2026",Raptors,Away,119,92,211,27.0,WIN,446,58.2,Correct,4.5,34.1,-4.5,31.5,Wrong
"Jan 30, 2026",Trail Blazers,Home,127,97,224,30.0,WIN,447,80.6,Correct,-6.5,72.3,6.5,23.5,Correct
"Feb 01, 2026",Lakers,Home,112,100,212,12.0,WIN,448,42.2,Wrong,-4.5,65.9,4.5,7.5,Correct
"Feb 03, 2026",Wizards,Away,132,101,233,31.0,WIN,449,100.0,Correct,-14.5,90.6,14.5,16.5,Correct
"Feb 04, 2026",Nuggets,Home,134,127,261,7.0,WIN,450,59.5,Correct,-6.5,72.3,6.5,0.5,Correct
"Feb 06, 2026",Pistons,Away,80,118,198,-38.0,LOSS,451,78.2,Wrong,2.5,41.0,-2.5,35.5,Correct
"Feb 08, 2026",Celtics,Away,111,89,200,22.0,WIN,452,35.3,Wrong,3.5,37.5,-3.5,25.5,Wrong
"Feb 10, 2026",Pacers,Home,134,137,271,-3.0,LOSS,453,72.8,Wrong,-11.5,85.2,11.5,14.5,Wrong
"Feb 11, 2026",76ers,Away,138,89,227,49.0,WIN,454,69.3,Correct,-2.5,59.0,2.5,46.5,Correct
"Feb 19, 2026",Pistons,Home,111,126,237,-15.0,LOSS,455,79.6,Wrong,-4.5,65.9,4.5,19.5,Wrong
"Feb 21, 2026",Rockets,Home,108,106,214,2.0,WIN,456,100.0,Correct,-2.5,59.0,2.5,0.5,Correct
"Feb 22, 2026",Bulls,Away,105,99,204,6.0,WIN,457,52.4,Correct,-10.5,83.0,10.5,4.5,Correct
"Feb 24, 2026",Cavaliers,Away,94,109,203,-15.0,LOSS,458,46.3,Correct,3.5,37.5,-3.5,11.5,Correct
"Feb 27, 2026",Bucks,Away,127,98,225,29.0,WIN,459,42.2,Wrong,-7.5,75.2,7.5,21.5,Correct
"Mar 03, 2026",Raptors,Away,111,95,206,16.0,WIN,461,61.9,Correct,-1.5,55.4,1.5,14.5,Correct
"Mar 04, 2026",Thunder,Home,100,103,203,-3.0,LOSS,462,0.3,Correct,4.5,34.1,-4.5,1.5,Correct
"Mar 06, 2026",Nuggets,Away,142,103,245,39.0,WIN,463,39.6,Wrong,1.5,44.6,-1.5,40.5,Wrong
"Mar 08, 2026",Lakers,Away,97,110,207,-13.0,LOSS,464,42.6,Correct,-4.5,65.9,4.5,17.5,Wrong
"Mar 09, 2026",Clippers,Away,118,126,244,-8.0,LOSS,465,38.7,Correct,-1.5,55.4,1.5,9.5,Wrong
"Mar 11, 2026",Jazz,Away,134,117,251,17.0,WIN,466,17.4,Wrong,-14.5,90.6,14.5,2.5,Correct
"Mar 13, 2026",Pacers,Away,101,92,193,9.0,WIN,467,51.9,Correct,-11.5,85.2,11.5,2.5,Correct
"Mar 15, 2026",Warriors,Home,110,107,217,3.0,WIN,468,18.6,Wrong,-12.5,87.2,12.5,9.5,Correct
